Input Query: An Extended Outbreak of Infectious Peritonitis in a Closed Colony of European Wildcats (Fells silvestris)
topicNo score[0] rank_counter score[1] 
None 0a0bc6bc993e37df9be46a2c80e969cbac5a89db 1 0.8668498598860553 
None 0b1515138984b9f9f2d08a8aaedc388846b531d4 2 0.3998634550118276 
None 0ab9753b9860f6b8c433f07e1bf96c98f452ecb1 3 0.39899786579916413 
None 0ba1801a150e25b029cf3c2a38573435b21dea80 4 0.34348281131845837 
None 0a2ded6cbd632857d491140a57f2773c3610b10b 5 0.33553346058547356 
None 0a0571a18973e6198245c720980385ce77c7a153 6 0.33551547929420683 
None 0b703c00445f6c0bdd40d95f8e9dbd405a3a1e36 7 0.3103235596202724 
None 0babc8288cb5191ee7a1bf37511b415add1cc682 8 0.3103147810724952 
None 0a19aacc124c9c42d66d481a9d0c837a76a252e6 9 0.30675739111024336 
None 00ae0041374cbbf28df0d2cbeb08c1396a4f7878 10 0.3020242314538714 
None 0ba9eb42f3e220c2b2fc9c22937aa51123e8b3aa 11 0.3020242314538714 
None 0a32446730827ad8152c6a61e4738e4e0b231412 12 0.3020242314538714 
None 0c0e91904a6c84a7ee80cc69fe83370aaa3ca708 13 0.30187251153371214 
None 0a6091c17b036524ee4c11c1082b6d9af211e574 14 0.29507432761126545 
None 0b5edd2e409c245c0934d4e7cb2d04f1c1fe1731 15 0.2909864565478517 
None 0be19bfb83d9eb0a6b6f1c7ce8b75a58d8b1ed6f 16 0.2888090538963708 
None 0b9541cb33bfaf15aa3838839a39ef78a11d8658 17 0.2888090538963708 
None 0a4773cad312ee8af34ed7ca7902dde8f28136f7 18 0.2888090538963708 
None 0aefcfb7f8f424c21f70dbb39518ea15fa9f01cb 19 0.2888090538963708 
None 0b460e73926eb107001c95c0dfeae2362b4251b0 20 0.2773276416235142 
None 0a094d28ffd685164050dbad0e1426abc73a4e18 21 0.2770109760526798 
None 0a4df0b92940218a7fc69cb46ba22c8f83a5bb9f 22 0.2764267051774374 
None 0bd206c313f628703bf896ecb80d2a37e1a178a3 23 0.274109338306004 
None 0b8c67ac3dbc51ec4287e9a76541767146106129 24 0.2659407931390205 
None 0c0dbf4bc137fb862c9d69c3a771a26e4a28d01d 25 0.2649593020908833 
None 0b15ffcdd9015c078588e5288d9e46667611d6b2 26 0.23137949507197286 
None 0b30e970d817fdc264c7e6f61eda62e29775e650 27 0.1865550648367502 
None 0be8d44cdaf0b7cca9697c33a590770f9d6e7fd0 28 0.1765755367333371 
None 0b028bc596add636668e7b46cf681d1011a4139e 29 0.14379160266095797 
None 0a9a85b82e17c880c923b5de9bec22931ed76f13 30 0.14379160266095795 
None 00ac0ed6be59b281c8f58c3d34387a424f5c6da1 31 0.14379160266095795 
None 0b4a1c61877f9783c5bb5f3eaf53e76c1096cc33 32 0.14379160266095795 
None 0bd443591b5e10934beef050b516afeca6b668fe 33 0.14379160266095795 
None 0a76f40f5ae91395a09ca16c42949b8ee9525ead 34 0.14379160266095792 
None 0aa98e80546e920ee739d0f7145031080a6af8f0 35 0.1426411828728443 
None 0a1b57b58a4f85beb910c49de95a52fd2b15096e 36 0.14057507880898304 
None 0a87078a7bf68dfb7f29a3949d7cdfa00349efed 37 0.13386059331681746 
None 0ae70ae84cc9052dedf214ca44a842f0f9edc161 38 0.13357036938601907 
None 0a312b1ea71937f92cf9470a3c171f1643e55786 39 0.13356632577162056 
None 0b1d36c395d04f82448c7f14bce6085b88bb2f47 40 0.1332289099913864 
None 0acbde5c3e5d4f964215218392e5fe30231920e9 41 0.13044575107811793 
None 0a41b85153ef8a084f7b3476d4d38832f533e914 42 0.1274684088620705 
None 0a1a3a1ad89a2b85fedb28ae9d2527b284b28c41 43 0.12667085799116345 
None 0a17c029515e527bfad8a67810ab82f4a3d6a299 44 0.12621000035043464 
None 0bf25ee11173cc87455e3b99254a5474499ecb4d 45 0.125095564355762 
None 0a84f279d717c0b06d9ae6fd427985dfe8bb71c6 46 0.12507758112776604 
None 0ae02f293c03e3e1a2d4582e62c22f2c0c291f48 47 0.1250610959827308 
None 0ac675fdff45bfddf5aea34d37f58ad7df4f78b9 48 0.12353667893229973 
None 0aff00101d5ccc6592987185ab833f95d842f98b 49 0.11810424394941739 
None 0a29d54d90d636472416f889c10f12062425bc76 50 0.11810424394941738 
None 0b8d789e2116efa9e813dd4763020174f3f26968 51 0.11810424394941738 
None 0bed614165ea5e8b2665c8914882923858293b1f 52 0.11810424394941738 
None 0b7e8eee1a131b49e7a3d3cb7bd1d38c940efcd0 53 0.11810424394941738 
None 00a00d0edc750db4a0c299dd1ec0c6871f5a4f24 54 0.11810424394941738 
None 0a0147800d4984f382f5ccb44abb6af6fdf65399 55 0.11810424394941738 
None 0b5766df080c50aa5aa947e28e17af647c6700e8 56 0.11810424394941736 
None 0ad93a12dda6aba8b62f2108fa4dd0b25c1337ea 57 0.11810424394941736 
None 0b1169ce2ade4c99af8c18a64787708ae014cf1b 58 0.11810424394941736 
None 00adbbcc70c39794b7d91a479943c84cc33db30a 59 0.1028486482132485 
None 0ad7e174f73e58184845bd1291c97fe2d2da2195 60 0.08202080563456639 
None 0a64b2c55fc2091358da4f83ac6fdc7701ddb46e 61 0.08202080563456639 
None 0adc0c7498f0ebbb3c8f1c662da34605d5f91fe2 62 0.08202080563456639 
None 0bc315d2fd406be6d572c343f3ec3bbc54686f8b 63 0.08202080563456639 
None 0b7076698224d07cc053c470edb5331625d33af9 64 0.08202080563456639 
None 0bf39c12d7c4576441079e2e758ec1eacfe015d1 65 0.08202080563456639 
None 0ac431a9a48289831c825c2b30f48bdf7f548995 66 0.08202080563456639 
None 0bda3352e1f43085c1c1b2595b2bb3b57f1e24eb 67 0.08202080563456639 
